,art_D1,crime_rate,foreigner_rate,study_D2,training_D3,training_D4,press_D5,religion_D6,reside_D7,invest_D8,trade_D9,jobseek_D10,prof_E1,instructor_E2,research_E3,tech_E4,projob_E5,performance_E6,activity_E7,seasonal_E8,nonprojob_E9,sailor_E10,visit_F1,reside_F2,accompany_F3,permanent_F5,marriage_F6,etc_G1,tourism_H1,visitwork_H2,etc_others,ClusterLabel
trade_D9,-0.001026012607250774,0.03500256033410215,0.14928822721991875,0.045964439660176104,0.2938723200731822,0.05735593060999709,0.11364264801696163,0.028677986744769183,0.2431425077431323,0.23562183703342288,1.0,0.1306533097012998,0.09582466847904131,0.12756530489518378,0.03602921979371856,0.022724702401708093,-0.003416383316265294,0.15996347662892635,0.6135149153768915,-0.05664149777942894,0.104196897559211,0.00880185190521077,0.1126772942503081,0.09368378031749214,0.3252033718474629,0.0401684325650296,0.1289040792076828,0.3244853463959019,0.031701293963212515,0.03571492182094237,0.12732823850761382,0.04686828071368837
jobseek_D10,0.45788064040051424,0.051714177957295965,0.215106722327972,0.878376408550178,0.08985382327663904,0.896325125578296,0.2880653825707766,0.3012352653469064,0.26660206508708406,0.2861243516576623,0.1306533097012998,1.0,0.6101313808121819,0.43476983657297064,0.5168637400557083,0.019188394903063257,0.01839890447247558,0.27271192194812927,0.2624674937967173,-0.1962823158668326,0.09354184336659917,-0.005282106077405802,0.35411311497181797,0.4435298421694553,0.4709688384717278,0.33637949062322103,0.4538368570511103,0.29660287600818375,0.5254660079482134,0.27843002137163414,0.24963945347023142,0.600888832159071
prof_E1,0.23819372738249295,0.009128480617111946,0.1308909001499661,0.6452345191003958,-0.0015840223257148332,0.6621410284197492,0.2584802175225127,0.16084212669005873,0.28048843574839566,0.44724028288209267,0.09582466847904131,0.6101313808121819,1.0,0.31993882551565717,0.4468066735314268,-0.008029382873261506,-0.013351584717180637,0.13170858622782322,0.11065526831661975,-0.1413537764229145,0.014505903277723078,-0.0797119209359945,0.18850196308339995,0.19486826176596622,0.5765964336464343,0.10227296287669822,0.18812894868338517,0.26374249397473143,0.3021298350407026,0.10040255382609098,0.1776064469234745,0.33614638433694277
instructor_E2,0.3099888920443051,0.029773957982042496,-0.07608944804690335,0.30539508169339313,0.0363121625876688,0.32976646714800484,0.2801030821166772,0.4163250405068642,0.4424055915955912,0.571628033769785,0.12756530489518378,0.43476983657297064,0.31993882551565717,1.0,0.3187190462147677,0.03036855280551027,0.10392440569194285,0.5478864231309958,0.36098590021681537,-0.2021047699614798,0.19031029503281793,-0.031979553196034564,0.2979827312490674,0.38363018113425573,0.5254096511818215,0.2875648288197684,0.48480654349036917,0.3293639970621468,0.45389422347803327,0.2090641221348529,0.25675562996126616,0.2598624527306929
research_E3,0.39081720180637475,-0.028184070356734262,0.025835710618377923,0.6025727488765316,0.037602619872413603,0.5375755401688228,0.10171285167140899,0.1787608267744807,0.11772372407095855,0.19299133636834592,0.03602921979371856,0.5168637400557083,0.4468066735314268,0.3187190462147677,1.0,-0.019499220718299484,-0.01191947697496159,0.10967315935108579,0.12074628369348335,-0.1192019650401098,0.02542450312113193,-0.055118066952476466,0.14660838538562382,0.2082327655010425,0.4019506621544983,0.13581578478423706,0.21240853675835455,0.11991083798622668,0.34842523939374026,0.09673040410877677,0.028972259370096547,0.2476039524242349
tech_E4,-0.021187924677213088,0.10002516677879682,0.05081574394143089,-0.01674947969116654,-0.006609353562636867,-0.029608356644413983,-0.007687149899733853,0.001551094570837884,0.18008980989858833,0.08651625163898465,0.022724702401708093,0.019188394903063257,-0.008029382873261506,0.03036855280551027,-0.019499220718299484,1.0,0.0049706155578633365,0.05964808203710709,0.025472534719271245,-0.03970879949080481,-0.03335165512997637,-0.008801180990927917,0.09968881117105519,0.19142455387401797,0.017366063008538806,0.1764131941195035,0.08595177181972372,0.021602469194355396,0.030212149837916986,0.18369278303262124,0.02019177410725352,0.04331256008679211
projob_E5,-0.010719645431703409,-0.029429827206841157,-0.052608684808487044,-0.013056846026389733,-0.01798104000757308,-0.021234293027059467,0.010076389282087317,0.03383810153030054,0.09487630701000846,0.03629978571026336,-0.003416383316265294,0.01839890447247558,-0.013351584717180637,0.10392440569194285,-0.01191947697496159,0.0049706155578633365,1.0,0.01918127974204716,0.00914817502620599,-0.037382241416318344,-0.02594712445682792,-0.022405156718636403,0.004864985566917357,0.054114733467193525,0.005530164964867024,0.043212351073882986,0.09532369788780053,-0.010460208236971606,0.08169565279192807,0.007873470709027972,-0.001004702209400351,-0.020783079410175133
performance_E6,0.31950876440656323,0.1475748687566475,0.09288565090534236,0.14396061741405172,0.029948913474800335,0.1334208555117532,0.2804652935348116,0.19317961601034564,0.41160126562108157,0.3961499618838255,0.15996347662892635,0.27271192194812927,0.13170858622782322,0.5478864231309958,0.10967315935108579,0.05964808203710709,0.01918127974204716,1.0,0.3266806211411266,-0.1044409377214235,0.04700080149118163,0.044947662636084,0.1293787302989106,0.25059678344744657,0.3255435394844209,0.15679516493775708,0.23911127549550085,0.3057252564056625,0.3971848938332359,0.10347318765772615,0.45131392585608276,0.17034729761498807
activity_E7,0.2117233371171444,0.05926124219990823,0.37848601943922067,0.10970762264633047,0.46375342903878136,0.12134078081751865,0.15477190918213485,0.22125805526052839,0.3156746366715465,0.3040955179644248,0.6135149153768915,0.2624674937967173,0.11065526831661975,0.36098590021681537,0.12074628369348335,0.025472534719271245,0.00914817502620599,0.3266806211411266,1.0,-0.02309381580191022,0.5124111108745988,0.196420097282525,0.350335274015218,0.4119658773481247,0.4839595763344325,0.26064574529278184,0.44359792090264794,0.5288435134973903,0.17214559209162425,0.20697392968476763,0.19822469576877677,0.26703732705817446
seasonal_E8,-0.0777248145488601,0.06692127039041197,0.19937080683785668,-0.17818796519869123,-0.08919104963574359,-0.2019039247959324,-0.07989592768264858,-0.09173401194238859,-0.0938376994743882,-0.13493264351313033,-0.05664149777942894,-0.1962823158668326,-0.1413537764229145,-0.2021047699614798,-0.1192019650401098,-0.03970879949080481,-0.037382241416318344,-0.1044409377214235,-0.02309381580191022,1.0,0.020127303217365687,0.039211299880831954,-0.13456693292217523,-0.15610384266707933,-0.1635671578420766,-0.16873472226510078,-0.18969292270930477,-0.09715020007453594,-0.12967323655466234,-0.14322326455493897,-0.07066894683629342,-0.16335920662112027
